,fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
45,48091,US,TX,Comal County,county,,iso1:us#iso2:us-tx#fips:48091,,156209,0.0634,other,7.1333003494402645,,0.793467622785,0.416331886225,0.1180637544273908,,0.46875,1,1,1,4,0,0,0,9711,309,,,,340.0,95.0,5,0.55,16.0,7.0,2,0.44,0,,42821,26614,2021-04-05,https://covidactnow.org/us/texas-tx/county/comal_county,0.2741263307491886,0.1703743062179516,0,66953
46,48093,US,TX,Comanche County,county,,iso1:us#iso2:us-tx#fips:48093,,13635,0.0119,other,5.238619100005238,,0.986526962703,1.077594735307,,,,1,0,1,4,1,4,4,1522,51,,,,25.0,12.0,1,0.29,0.0,,0,,0,,3779,2945,2021-04-05,https://covidactnow.org/us/texas-tx/county/comanche_county,0.27715438210487714,0.215988265493216,0,6315
47,48095,US,TX,Concho County,county,,iso1:us#iso2:us-tx#fips:48095,,2726,0.125,other,15.721622471439051,,0.739599063052,0.973060132038,,,,2,2,2,4,0,4,4,372,8,,,,16.0,2.0,2,0.06,0.0,,0,,0,,802,538,2021-04-05,https://covidactnow.org/us/texas-tx/county/concho_county,0.2942039618488628,0.19735876742479824,0,1311
48,48097,US,TX,Cooke County,county,,iso1:us#iso2:us-tx#fips:48097,,41257,0.1582,other,6.232708562010258,,0.724655665222,0.8961491729279999,0.3205128216633794,,0.7179487181328074,2,2,1,4,0,0,1,3626,69,,,,78.0,22.0,2,0.38,5.0,4.0,1,0.49,0,,8191,5091,2021-04-05,https://covidactnow.org/us/texas-tx/county/cooke_county,0.19853600601110116,0.12339724168019972,1,13001
49,48099,US,TX,Coryell County,county,,iso1:us#iso2:us-tx#fips:48099,,75951,0.0111,other,15.2353867248997,,1.0367805129799998,0.5408320458100002,3.0434782578260866,,1.0,2,0,2,4,1,3,3,7036,84,,,,25.0,7.0,2,0.31,1.0,1.0,2,,0,,9547,6429,2021-04-05,https://covidactnow.org/us/texas-tx/county/coryell_county,0.12569946412818792,0.08464668009637792,0,15522
50,48101,US,TX,Cottle County,county,,iso1:us#iso2:us-tx#fips:48101,,1398,0.043,other,0.0,,,,,,,0,1,0,4,4,4,4,190,7,,,,,,0,,,,0,,0,,348,298,2021-04-05,https://covidactnow.org/us/texas-tx/county/cottle_county,0.24892703862660945,0.21316165951359087,0,637
51,48103,US,TX,Crane County,county,,iso1:us#iso2:us-tx#fips:48103,,4797,,other,11.912207034158255,,0.880291953857,1.2804154465130002,0.0,,,2,4,2,4,0,0,4,520,12,,,,25.0,8.0,1,0.07,2.0,,0,,0,,1171,717,2021-04-05,https://covidactnow.org/us/texas-tx/county/crane_county,0.24411090264748805,0.14946841776110067,0,1875
52,48105,US,TX,Crockett County,county,,iso1:us#iso2:us-tx#fips:48105,,3464,,other,8.248102936324646,,0.900936993973,1.3680909374169998,,,,1,4,1,4,1,4,4,574,15,,,,,,0,,,,0,,0,,936,714,2021-04-05,https://covidactnow.org/us/texas-tx/county/crockett_county,0.2702078521939954,0.20612009237875287,0,1638
53,48107,US,TX,Crosby County,county,,iso1:us#iso2:us-tx#fips:48107,,5737,0.062,other,2.4901018451654666,,,,,,,1,1,1,4,4,4,4,548,28,,,,25.0,0.0,0,0.07,0.0,,0,,0,,1695,1354,2021-04-05,https://covidactnow.org/us/texas-tx/county/crosby_county,0.2954505839288827,0.23601185288478305,0,3031
54,48109,US,TX,Culberson County,county,,iso1:us#iso2:us-tx#fips:48109,,2171,,other,23.03086135421465,,1.14021922933,1.18000634354,,,,2,4,2,4,2,4,4,357,8,,,,14.0,1.0,0,0.2,0.0,,0,,0,,700,365,2021-04-05,https://covidactnow.org/us/texas-tx/county/culberson_county,0.32243205895900506,0.16812528788576692,0,1062
55,48111,US,TX,Dallam County,county,,iso1:us#iso2:us-tx#fips:48111,,7287,0.14400000000000002,other,11.762630124095747,,,,,,,2,2,2,4,4,4,4,935,24,,,,,9.0,1,,,,0,,0,,2158,1540,2021-04-05,https://covidactnow.org/us/texas-tx/county/dallam_county,0.2961438177576506,0.21133525456292027,0,3687
56,48113,US,TX,Dallas County,county,,iso1:us#iso2:us-tx#fips:48113,,2635516,0.0401,other,11.084844756884694,,1.00775851359,0.09999999999999988,0.1614561029467786,,0.5183098591549296,2,1,2,4,1,0,0,282896,3886,,,,9374.0,861.0,43,0.66,177.0,92.0,17,0.71,294,,709273,394492,2021-04-05,https://covidactnow.org/us/texas-tx/county/dallas_county,0.26912111328483684,0.14968302222411095,1,1079372
57,48115,US,TX,Dawson County,county,,iso1:us#iso2:us-tx#fips:48115,,12728,0.16,other,5.611924216575379,,1.20148993788,1.4432413417500003,,,,2,2,1,4,2,4,4,1722,68,,,,22.0,5.0,1,0.13,9.0,7.0,3,,0,,1942,1129,2021-04-05,https://covidactnow.org/us/texas-tx/county/dawson_county,0.15257699560025142,0.08870207416719042,0,3023
